# Theta[deg]   da/a_dipole[ppm]  e(da/a_dipole)[ppm]
48.7627 6.72362 1.775
48.8099 6.7173 1.72514
48.8313 6.71444 1.70431
48.8862 6.70708 1.82174
48.9845 6.69388 1.82103
49.0005 6.69173 1.82113
49.0101 6.69044 1.76614
49.0151 6.68977 1.77322
49.0262 6.68828 1.7248
49.1022 6.67806 1.81854
49.2781 6.65435 1.76078
49.3394 6.64609 1.79632
49.3635 6.64283 1.71851
49.4376 6.63281 1.81884
49.5271 6.62069 1.79521
49.5417 6.61872 1.81831
49.6361 6.60593 1.80724
49.6743 6.60075 1.74228
49.7851 6.5857 1.80409
49.9375 6.56495 1.81632
49.9686 6.56071 1.73997
49.9839 6.55864 1.66781
50.0047 6.55579 1.76647
50.0313 6.55217 1.81586
50.0602 6.54822 1.6655
50.154 6.53541 1.71272
50.1562 6.5351 1.67794
50.2171 6.52678 1.6725
50.2471 6.52268 1.76487
50.2575 6.52126 1.79104
50.2955 6.51605 1.68872
50.3791 6.5046 1.66174
50.385 6.50378 1.81416
50.3944 6.50249 1.73848
50.4348 6.49695 1.79005
50.4408 6.49612 1.79019
50.4565 6.49398 1.66009
50.4682 6.49237 1.81377
50.4858 6.48995 1.70976
50.5365 6.48298 1.67148
50.6019 6.47399 1.6679
50.6194 6.47158 1.7864
50.6581 6.46626 1.68497
50.684 6.46269 1.7327
50.7413 6.4548 1.69292
50.7793 6.44956 1.81233
50.8516 6.43957 1.812
51.0924 6.40627 1.68643
51.1194 6.40254 1.8108
